id,text,device
986432143189512192,"Pastor Andrew Brunson, a fine gentleman and Christian leader in the United States, is on trial and being persecuted in Turkey for no reason. They call him a Spy, but I am more a Spy than he is. Hopefully he will be allowed to come home to his beautiful family where he belongs!",iPhone
674069045289816064,"""""""@CharlesMarino8: @3DOT  DonaldTrump preach it brother! First election I've been excited about in many many years. Since Reagan to be exact""""""",Android
640137467014852608,"""Why would a very low ratings radio talk show host like Hugh Hewitt be doing the next debate on @CNN. He is just a 3rd rate """"gotcha"""" guy!""",Android
800298286204723200,"The cast and producers of Hamilton, which I hear is highly overrated, should immediately apologize to Mike Pence for their terrible behavior",Android
711163293365198848,"""""""@Ma1973sk: Actually, no @FoxNews, @megynkelly has a sick obsession with Trump. Every day, every show, trashing, negative, hate.""",Android
1303156993847328771,"The Real Polls are starting to look GREAT! We will be having an even bigger victory than that of 2016. The Radical Left Anarchists, Agitators, Looters, and just plain Lunatics, will not be happy, but they will behave!",iPhone
551963012631126018,"""""""@Aschultz2014: @realDonaldTrump Best @ApprenticeNBC cast ever!! Love @IanZiering and so glad @Kateplusmy8 wasn't fired! #notlazy""""""",Android
1118548389652774914,....in my conversation yesterday with President @EmmanuelMacron of France. I also wished both Pope Francis and President Macron a very Happy Easter!,iPhone
1190859914857603072,RT @realDonaldTrump: https://t.co/zJ9nW8i3ao,iPhone
756804886038192128,"Leaked e-mails of DNC show plans to destroy Bernie Sanders. Mock his heritage and much more. On-line from Wikileakes, really vicious. RIGGED",Android
1236959207917858819,Working hard Lori! https://t.co/awBZuXrLHg,iPhone
452282164277956609,"""""""@BeBeSXM: @realDonaldTrump I cross the whitestone bridge regularly...it went from a dump to a masterpeice...God Bless All You Do !""""  Thanks""",Android
1095360852482498561,"Beautiful evening in El Paso, Texas last night. God Bless the USA! https://t.co/trqA75KxLN",iPhone
464560788267884545,"""""""@IGotAngelEyes: @realDonaldTrump @Savi_Swizzle Very Smart Man. I'd Vote 4 U MR. TRUMP. 👑🌹💋🇺🇸""""  Thanks""",Android
355848342196068352,"""""""@jannyp70: @realDonaldTrump @kyleraccio stop fibbing trump you have nothing to do with uk show. Ur name Isn't on the credits!"""" Just profits""",Android
324676127346012163,"""""""@rodmonium91: @realDonaldTrump Best piece of advice u would give to a young businessman?"""" Work really hard and smart!""",Android
1058820790546821120,"If Chuck Schumer and Nancy Pelosi gain the majority, they will try to raise your taxes, restore job-killing regulations, shut down your coal mines and timber mills, take away your healthcare, impose socialism, and ERASE your borders. VOTE for @MattForMontana and @GregForMontana! https://t.co/aDnCQKY7QD",iPhone
1146068975350009856,"Robert Mueller is being asked to testify yet again. He said he could only stick to the Report, &amp, that is what he would and must do. After so much testimony &amp, total transparency, this Witch Hunt must now end. No more Do Overs. No Collusion, No Obstruction. The Great Hoax is dead!",iPhone
1134240653926232064,"On June 10th, the United States will impose a 5% Tariff on all goods coming into our Country from Mexico, until such time as illegal migrants coming through Mexico, and into our Country, STOP. The Tariff will gradually increase until the Illegal Immigration problem is remedied,..",iPhone
506313064497836032,"""""""@Carmelcandi68: The ISIS thug who murdered Amer James Foley may hv been Gitmo detainee http://t.co/evsED2fAX5 yall want close gitmo so bad""""""",Android
1127622664477134848,Big attacks on Republicans and Conservatives by Social Media. Not good!,iPhone
1268874377749319683,Thanks for your invaluable help in getting a great man PASSED to run VOICE OF AMERICA. Trying for 25 years and you got it done Jim. Idaho is proud of you! https://t.co/kbjjD0bU1h,iPhone
1318718655559991297,"THANK YOU PENNSYLVANIA!
https://t.co/OirJvLcxBu",iPhone
1305219365743153152,"...and prices are coming down FAST! Also just ended all rebates to middlemen, further reducing prices.",iPhone
701746070162792448,"""""""@EricTrump: Nevada we are on our way! #VoteTrumpNV #Trump2016 Caucus locator: https://t.co/aUSzSnOzlm https://t.co/bCRelzywxk""""""",Android
391336517438046208,"""""""@sjp111: @DanAmira @realDonaldTrump @MELANIATRUMP Dan Amira owes Mr Trump and his wife an apology!""""  He doesn't have the guts to apologize!""",Android
904375314830249984,"I will be meeting General Kelly, General Mattis and other military leaders at the White House to discuss North Korea. Thank you.",iPhone
585267049334763521,"""""""@Reedgs119: @realdonaldtrump agree 100%""""""",Android
1308497728264122368,"Governor @MikeParson is doing an incredible job for Missouri. He is Strong on Jobs, Law and Order, Life, and the Second Amendment. Mike has my Complete and Total Endorsement! Vote for Mike!#MOGOV https://t.co/A0eWLCTFGx",iPhone
539399740069543937,"""""""@mychemicalcarli: have a trumptastic monday!! @realDonaldTrump http://t.co/picY01JPzd"""" Thank you.""",Android
808528428123254785,"Even though I am not mandated by law to do so, I will be leaving my busineses before January 20th so that I can focus full time on the......",Android
360715023175254017,"""""""@ZachKrantz: @realDonaldTrump Cant wait for tourney next March, always good to have you on with @JoeRoseShow before big tournament""""""",Android
559877102284308480,"""""""@bahia6085: @realDonaldTrump If this country is still existing with Obama in charge, then imagine if Trump was prez! It would be awesome.""""""",Android
700784179076853761,#MakeAmericaGreatAgain #Trump2016  https://t.co/zIn9Zl4Ukx,iPhone
1183357914922258433,A despicable human being! https://t.co/3KpgUuRaXU,iPhone
477363607550705664,"""""""@MajesticBrotha: @realDonaldTrump I'm a Liberal but I feel Mayor Emanual has bigger fish to fry in Chi-town than a Trump sign""""""",Android
306208019740495872,@TheOnlyCdorsey. Thanks.,Android
1060924708101644288,You mean they are just now finding votes in Florida and Georgia – but the Election was on Tuesday? Let’s blame the Russians and demand an immediate apology from President Putin!,iPhone
1179411261337067520,"Now the press is trying to sell the fact that I wanted a Moat stuffed with alligators and snakes, with an electrified fence and sharp spikes on top, at our Southern Border. I may be tough on Border Security, but not that tough. The press has gone Crazy. Fake News!",iPhone
654108917224579072,"""""""@DNorrell: This is one of the most dysfunctional debates I've seen in my lifetime. @realDonaldTrump""""""",Android
320027827250540544,"""""""@MGSeneca: @realDonaldTrump you and your TV Show #theapprentice are tremendous. Watch it every week""""  Thanks""",Android
586751742852915200,"""""""@AutumnJuliaa: My goal in life is to master the idea of a balance sheet as flawlessly as @realDonaldTrump did at my age.""""""",Android
458907611405242368,"""""""@leetimlin0511: I just want @realDonaldTrump to buy my Bills! Perfect man for the perfect club""""  nflcommish""",Android
1270346144485343232,"Mattis was our Country’s most overrated General. He talked a lot, but never “brought home the bacon.” He was terrible! Someday I will tell the real story on him and others - both good and bad! https://t.co/WgAQMkfgvr",iPhone
1182281836363485185,"...Court Justice &amp, I turned him down (he’s been terrible ever since), Shep Smith, @donnabrazile (who gave Crooked Hillary the debate questions &amp, got fired from @CNN), &amp, others, @FoxNews doesn’t deliver for US anymore. It is so different than it used to be. Oh well, I’m President!",iPhone
557345818727186433,"""""""@Dm1one: Not feeling well today, but I must take the time 4 #CelebrityApprentice &amp, #JoanRivers #CelebApprentice Great Season!""",Android
1317285567445397504,https://t.co/t7MUFQi3G2,iPhone
1014094834863362049,"The economy is doing perhaps better than ever before, and that’s prior to fixing some of the worst and most unfair Trade Deals ever made by any country. In any event, they are coming along very well. Most countries agree that they must be changed, but nobody ever asked!",iPhone
771212757517557760,"Under a Trump administration, it's called #AmericaFirst! #ImWithYouhttps://t.co/QfHfCQg0Wa",iPhone
1319822456480100354,"Joe Biden is a corrupt politician and he’s COMPROMISED. China is desperate for Biden to win because if Biden Wins, CHINA WINS – and China will OWN AMERICA. This corruption is EXACTLY why I decided to run for President in the first place...",iPhone
603752124783185921,"""""""@MMValetServicez: """"I wasn't satisfied just to earn a good living. I was looking to make a statement.” – Donald Trump""",Android
1226229268830662656,Governor Cuomo wanted to see me this weekend. He just canceled. Very hard to work with New York - So stupid. All they do is sue me all the time! https://t.co/ps0OzMxuE5,iPhone
1326346314842562561,He should pay a big price for his subversion! https://t.co/1nFjPBpvfV,iPhone
579820706281758720,"""""""@TylerLeeSmit: I found a few of your buildings in Busan, South Korea. They're looking clean and beautiful. Keep expanding the empire!""""""",Android
1056181643810168832,"Martha McSally is a great warrior, her opponent a Nancy Pelosi Wacko! https://t.co/QEUdPWDDud",iPhone
1087472133230551040,"If Nancy Pelosi thinks that Walls are “immoral,” why isn’t she requesting that we take down all of the existing Walls between the U.S. and Mexico, even the new ones just built in San Diego at their very strong urging. Let millions of unchecked “strangers” just flow into the U.S.",iPhone
816645831659061248,"like the 116% hike in Arizona. Also, deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web...",Android
